Country Code;Country Name;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960;1959;1958;1957;1956;1955;1954;1953;1952;1951;1950;1949;1948;1947;1946;1945;1944;1943;1942;1941;1940;1939;1938;1937;1936;1935;1934;1933;1932;1931;1930;1929;1928;1927;1926;1925;1924;1923;1922;1921;1920;1919;1918;1917;1916;1915;1914;1913;1912;1911;1910;1909;1908;1907;1906;1905;1904;1903;1902;1901;1900
GUM;GUAM;;;;;;;;;;;0;;5100;;;;;5000;;;;0;5000;;;;;502;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GTM;GUATEMALA;;0;0;0;50640;991;0;0;0;0;;0;460;0;250;3775;0;;0;280;0;;0;0;0;0;1550;0;0;3500;0;0;0;;;0;;;1166000;;;0;;;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;
GIN;GUINEA;0;0;0;4000;0;0;0;0;0;0;777;0;0;0;0;0;0;;;;0;0;;;;;;0;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GIN;GUINEA BISSAU;;;;;0;;750;;0;0;1000;0;0;;;0;300;0;0;;0;0;;;;;;3700;0;;;;0;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;
GUY;GUYANA;;;;;0;;0;;0;0;;;;;0;;;0;10000;;;;;;;0;0;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HTI;HAITI;;33265;33330;540;0;9910;30;16109;0;185;16548;12470;0;0;1200;50;0;;115;;87000;0;0;;0;1000;200;0;13200;;;;;;835000;0;;0;;;0;;0;;;;0;;0;;0;0;0;;;0;;;;;0;;0;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;;;;
HND;HONDURAS;0;0;0;0;7998;0;0;1865;0;800;0;0;144;25270;0;3000;0;0;0;0;15500;0;;;6000;0;925;;0;;0;;0;0;0;0;7500;;0;;0;0;0;0;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;
HKG;HONG KONG (CHINA);;;;;0;0;0;;;0;;0;;;;0;;0;;;0;119;320;0;;1691;0;0;0;0;;2766;12700;0;0;1096;418;131;2424;1430;0;0;13855;1000;368;0;0;0;2672;200;0;;0;1171;0;0;;0;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;0;;;;;;
HUN;HUNGARY;;0;0;;0;;0;0;0;0;9;0;0;0;0;2054;;0;200;;;;0;;;;;;0;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ISL;ICELAND;;;;;0;;;;;;;;;;69;;;;0;0;;;;;;;0;;;;0;0;;;;;;;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IND;INDIA;0;0;0;325000;907000;4000;2400000;0;4150000;464000;105000;236345;5200;1792000;252000;805500;0;32000;100000;1117285;62500;120000;500;400000;2000;2000;0;0;2850000;450000;10000;14000;0;0;0;10000;0;5432400;0;7002000;0;0;0;2000000;352000;0;0;0;0;0;0;0;0;2000;0;0;0;0;77000;375000;0;0;0;;0;0;0;;0;2000;0;0;0;;;;;;0;0;0;;;;;;2000;0;0;0;0;;;;0;;;;0;;;;;;;;;0;;0;;;;;0
IDN;INDONESIA;5250;0;3845;10095;4830;0;2920;46675;708365;0;532898;140;0;29600;61145;2700;2750;0;18090;45685;11330;0;104345;1000;0;5500;2500;1800;50000;0;20000;0;2000;11000;3800;32000;15000;0;0;;0;0;0;;0;0;0;48290;0;0;;0;;;;;0;;0;0;0;0;;0;;;;;;;;0;;;;;4710;;0;;;;2960;0;0;;0;0;;;11250;;;;;0;;0;;;0;;;;;0;;0;;;;;;;
IRN;IRAN ISLAM REP;;1500;0;;3500;0;0;0;0;1750;4000;67130;4500;0;6000;4070;16000;64000;2000;250;0;15000;6500;15000;106310;200;0;0;0;0;;375;;0;150000;0;0;0;0;0;;;0;;0;0;0;;0;0;0;;0;0;0;;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
IRQ;IRAQ;;0;0;2000;;0;600;0;0;;0;0;;;;;0;0;;;;;;500;;;;;;;;;;;;;0;;;;;;;;;0;0;60000;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IRL;IRELAND;0;;;0;;0;;;;0;0;0;0;;0;0;0;;0;;;0;;0;0;;;0;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ISR;ISRAEL;;0;;;0;;;;;;;;;;0;0;0;0;;0;;;0;0;;;;;;;;0;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITA;ITALY;0;0;14700;0;0;60000;0;0;0;0;0;0;9500;0;0;0;219;38000;0;;10300;0;0;0;2500;;;0;0;0;4300;1000;0;0;0;5000;0;0;137000;0;;0;0;0;1650;;3000;;1300000;0;;0;;;0;;;;;;5466;4000;;173500;;;0;;;;14000;;;;;0;;;;;;;;;0;;;;;;;;0;;0;;;;;0;;;;;;;0;;0;0;;;;;
JAM;JAMAICA;;;0;;0;;0;1188;0;0;0;;0;200;0;;;;800;;0;82;;1340;0;;0;0;0;300;;;;0;0;50000;;0;;;;0;;;;;0;;;;;0;;;;;;;;;;;;0;;;;;;;2000;;;;2000;;;0;;0;;0;0;;;;;;;;;1300;;;;;;0;;;;;94820;;;0;;0;;;;0;;;0
JPN;JAPAN;0;0;0;0;0;0;0;40668;99;0;5800;219;0;12;312;7011;0;0;264;251301;0;1620;0;351;507;0;0;0;0;0;0;1100;145000;22500;2000;0;3000;8000;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;0;0;;;0;;;0;0;;;0;;;;;;0;;;0;;0;;0;;;0;;;;;0;0;0
JOR;JORDAN;;;;;;;;;;;;;0;;0;0;;0;;;;;0;0;;0;;0;;;;;;0;;;;;;;;;;;;;;;2500;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
KAZ;KAZAKHSTAN;0;;0;3762;5000;;0;;;0;0;0;;0;0;0;0;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEN;KENYA;;0;0;5000;0;0;0;0;0;0;0;0;0;0;0;0;200;0;1000;;0;;;0;0;;0;;;;0;;0;;;0;;0;;0;;;;0;;;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KIR;KIRIBATI;0;;;;;;85;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KOR;KOREA DEM P REP;;48688;33500;0;0;;;171649;84500;16093;199255;;19637;30000;147000;2905;0;29000;0;500000;;0;;;;;;0;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KOR;KOREA REP;0;;0;2000;0;;0;600;0;1840;3077;15000;0;0;4137;6314;123376;115;28500;2600;86;8496;181;1500;0;0;0;154000;0;0;0;;0;0;0;0;0;0;0;;;;326000;0;0;0;0;0;65630;23214;43000;0;0;0;;0;;0;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWT;KUWAIT;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KGZ;KYRGYZSTAN;0;;0;0;0;0;1055;0;50;2050;80;53;522;;0;;7728;30;;;13500;;32538;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LAO;LAO P DEM REP;;0;;0;;0;0;0;;;;;0;0;0;0;;;0;1000000;0;0;0;0;;;0;0;;0;0;;;0;;;0;0;;;;;;15000;;0;600;;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LVA;LATVIA;;;0;;;;;;0;0;;0;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN;LEBANON;;;;;;;;0;;;;0;0;;;;;;;;;;4000;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LSO;LESOTHO;;;;0;;;0;0;;;;;0;1000;0;0;;;20;;;;0;;0;0;;0;;0;;0;;;;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LBR;LIBERIA;0;;;;0;0;340;3500;;0;;0;0;;0;0;0;;0;2000;;;;;0;;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LBY;LIBYAN ARAB JAMAH;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LTU;LITHUANIA;;;0;;0;;;;0;0;;;;0;;0;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LUX;LUXEMBOURG;;;;;0;;;;;;;0;;;;;;;;0;;0;;;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAC;MACAU;;;;;;;;;;;;0;;;;;;;;;;2748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MKD;MACEDONIA FRY;;0;0;;;;;0;0;0;0;0;150;0;0;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDG;MADAGASCAR;;0;0;25845;0;8102;194338;12000;404;8877;258450;51605;5000;;0;0;0;80000;0;;40000;;;125000;;0;0;;0;;0;0;70000;0;;;0;0;8850;0;;;10000;;0;3000;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;MALAWI;;0;0;0;0;20550;0;2659;16000;44500;;1000;0;0;0;0;0;0;;1300;;;0;150000;0;150000;;0;;;;;0;;;0;;;;;;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MYS;MALAYSIA;;0;;0;;0;0;29000;0;0;19296;0;0;0;0;0;0;0;3250;3000;;5000;;0;;;0;0;0;;;0;;;;;0;0;;;;;;;0;;0;15000;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDV;MALDIVES;;;;0;;;;0;;;13000;;;;;;;;;;;;;23849;;;;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MLI;MALI;;0;;0;0;0;2500;46162;1000;1860;0;10000;0;0;0;200;4650;0;0;;;;;0;;0;10000;0;0;0;0;;;0;0;0;0;;;;;;;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;
MHL;MARSHALL IS;0;0;;;;;0;;;;;;;;0;;;;;;;;;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTQ;MARTINIQUE;;;;0;0;;;0;;;;;;;;200;;;0;0;;3000;;;0;0;;;;;;;;;0;0;;;;;;;;;0;;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
MRT;MAURITANIA;;2305;;0;0;0;;0;10600;0;0;21000;0;3000;;20160;0;0;0;192;;0;;0;;;0;0;;900;0;;0;;0;;0;;0;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;
MUS;MAURITIUS;;0;;;;;;0;0;;;;1000;;;0;;;0;;1500;;;1500;;0;;;;0;0;0;0;;0;5000;;;;0;;;0;;;;;3500;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MEX;MEXICO;;0;4000;40000;0;0;0;30000;0;300000;0;3000;0;800;0;88000;120;50000;18750;58275;0;55790;16000;44200;0;0;25000;200;0;100000;0;32500;15000;0;0;0;0;0;100000;0;0;0;0;0;0;0;0;0;10000;0;0;;0;0;;0;;0;;0;0;;0;0;;0;;;;;;0;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FSM;MICRONESIA FED STATES;;;;;;;0;;;;0;1000;175;;0;;0;;;;;;;;;;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDA;MOLDOVA REP;;;0;;0;;0;0;0;0;;;0;;0;753;;96;;;25500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MNG;MONGOLIA;;;;;;0;0;;;;;150;0;0;0;;;;0;;0;0;;0;0;;;;0;;;;0;;;;;;;;;;;;;;;;20000;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MNE;MONTENEGRO;;;0;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MSR;MONTSERRAT;;;;;;;;;0;;;;;;;;;0;0;0;;;;;0;12000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAR;MOROCCO;0;;0;;0;0;0;;0;0;12539;0;0;0;0;0;;0;0;0;;;;;;;0;0;;;0;0;2216;;;732;;38000;;0;;;;0;0;;;;0;0;0;0;;;0;;;;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
MOZ;MOZAMBIQUE;;0;0;0;0;6500;58000;3500;1440;9000;;0;4500;0;1050;0;2500;0;0;;500000;;0;0;0;0;0;0;;0;0;0;;0;0;0;25000;40000;;0;;;;0;;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MMR;MYANMAR;;0;0;3152;0;0;0;4237;0;0;28200;;0;3750;;50000;;33768;;12401;0;;0;0;;;;;;;;0;0;20000;;0;54000;0;200000;0;0;;;;0;;30000;0;;0;;200;;;;;;;;;;;;;;;;;;;;;;0;;;;;150000;;;;;;0;;;;40000;;;0;;;;;;;;;;;;;;;;;;;;;0;;
NAM;NAMIBIA;;0;0;0;0;0;0;0;0;;0;0;0;0;0;;0;;;0;;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPL;NEPAL;0;4314;0;0;0;0;0;0;80000;0;0;15575;0;0;0;4000;50000;0;13650;3000;;200;50000;0;0;0;0;0;0;2000;0;0;0;0;35000;0;700;;0;0;;;0;;0;;0;0;0;;0;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NLD;NETHERLANDS;;0;0;;0;;0;0;0;0;;0;0;;;0;0;0;;0;0;0;0;;0;;;;0;0;0;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NLD;NETHERLANDS ANTILLES;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NCL;NEW CALEDONIA;;;;;;;;;;;;1000;;;;0;;;;;;;;;;0;;;;;;;;0;;;;;0;0;;;0;;;0;0;;;;;;;;;0;;;;0;;;;0;;;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NZL;NEW ZEALAND;;0;0;300;0;;;0;0;400;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;;0;0;0;0;0;0;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;0;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
NIC;NICARAGUA;0;0;0;0;0;0;0;0;;5763;0;;3004;0;5650;7105;10;0;0;0;0;0;0;0;0;;60000;;;;;;0;;0;0;;;0;;;;300000;2400;;0;260;0;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
NER;NIGER;;0;0;28175;6615;0;0;0;46472;0;0;0;0;0;0;12789;20000;0;0;0;61992;;;0;0;0;0;0;0;;0;;;;0;;;;;;0;;;;0;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;;;;;;0;;;;;;;;;;0;;;0;;;;0;;;0;;;
NGA;NIGERIA;;0;0;500;0;0;0;0;10000;3000;0;0;200;5802;6300;37000;107000;;0;;400000;;0;0;0;0;301500;0;0;0;;0;;;;;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NIU;NIUE;;;;;;;;;;;500;;;;;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MNP;NORTHERN MARIANA IS;;;;;;;;;;;0;;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOR;NORWAY;;;;0;;;0;;;0;;;;0;0;;;;;0;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OMN;OMAN;;;;0;0;;;0;;;;0;0;;;;;;;;;;;;;;;;;;;;;0;;;;1500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAK;PAKISTAN;;0;0;0;0;0;0;0;5600;5003500;2320;2500;5000;500;0;222090;3600;25000;0;0;0;100;2953515;29465;0;0;1000000;;0;0;2000;0;0;0;0;0;10000;245000;0;0;5200;0;;;;;0;0;;0;0;;;;;0;;0;0;;0;0;;;0;;;;;0;10000;;;;;0;;;;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
PLW;PALAU;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSE;PALESTINE (WEST BANK);;0;0;;500;;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAN;PANAMA;;0;0;0;0;0;0;0;1290;0;0;340;1500;775;1000;395;0;;;0;;;0;9000;;;2000;;2500;;0;0;;;;;0;;;;;0;0;;0;;;;1000;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PNG;PAPUA NEW GUINEA;;0;0;0;;0;0;0;22000;200;0;0;1000;200;5000;38000;0;7500;0;;46000;65000;0;5000;0;;0;0;0;0;;0;;;0;0;;;;;;;0;0;0;;;;;;;;;;0;;;0;;;;;;0;;;;;;;;;;;;;;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRY;PARAGUAY;;0;0;2000;0;0;0;0;0;0;0;;12500;;0;0;0;0;;0;;;0;;0;;15000;;;;;0;0;;;70000;;;;;;;;0;;;;;2500;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PER;PERU;5400;5247;51385;1705;1000;150;0;0;325;0;70;3950;0;125015;50;252250;0;0;20780;0;12000;0;0;0;32500;500;1000;840;466;4300;0;0;5000;5000;0;100;5000;300;;;1500;0;75000;0;5000;0;0;10000;49256;0;;;0;;0;;0;;;;;0;;;0;;;0;0;;;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;
PHL;PHILIPPINES;0;0;35762;0;0;110;54645;0;0;0;8700;83203;3000;100000;125250;9781;0;0;96000;118500;375787;306122;9267;80873;1110020;161364;66321;325139;6633;256;1321526;29860;329083;11458;540079;61535;22911;15679;110;698;6441;45000;397647;46500;67200;0;45313;0;90000;8000;0;2000;0;;0;0;;0;0;0;0;;0;0;0;0;0;;0;;;;;;0;;0;0;0;;0;;2500;0;;;;;;;;;;;;;0;;;;;;0;0;;;;;;0;;;;;
POL;POLAND;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;62000;;;0;;0;;0;;;0;;;;0;1824;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRT;PORTUGAL;0;46;;;0;0;38;;0;0;0;0;60;200;60;;;200;0;;;;;0;;0;;;0;0;;0;;0;;10000;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRI;PUERTO RICO;;;0;771;;;;0;;;0;100;;180;;0;0;;0;0;0;;0;;;0;;;;0;;;;0;;0;;;;0;;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
REU;REUNION;;;;;;;;0;;0;;;2800;;600;;;;;;;0;;;;0;;0;;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ROU;ROMANIA;0;0;0;;0;0;0;0;5000;800;0;600;3900;0;731;920;0;122320;0;5000;5400;200;;12000;0;;;;;;0;0;;;;;;175000;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;;;;;0;;;;;;0;;0;;;;;;;;;;0;;;0;0;;;;0;;;;;;;;
RUS;RUSSIA;;0;5752;0;1200;;0;7500;0;0;1000;1800;1620;400;19100;6440;36683;0;600;1200;2529;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
RWA;RWANDA;;;0;0;5920;;0;0;0;;0;7000;0;0;0;0;0;;0;;;;;0;;0;0;;;;0;;;;;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WSM;SAMOA;;;0;;;0;;;;0;0;;;0;;;;;;;;;;3000;25000;0;;;;;;0;;;;;;;;;;;;;;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STP;SAO TOME ET PRINCIPE;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAU;SAUDI ARABIA;;0;0;0;0;10000;;;;0;0;0;0;0;0;;;;;;;;;;;;;;;5000;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
